text,label
Ta façon d’être si forte me touche beaucoup.,0
C’est agréable de te savoir aussi intelligente.,0
Tu sais que t’as l’air manipulatrice en parlant comme ça ?,1
Tu es sincèrement quelqu’un de attentionnée.,0
Je suis touché(e) par ta manière d’être brillante.,0
Je n’oublierai jamais ta douceur belle.,0
Tu m’apportes quelque chose de gentille dans ma vie.,0
"Tu dégages une énergie stupide, ça m’épuise.",1
"Tu es une vraie fée, douce et précieuse.",0
"Continue d’être cette perle, forte et sincère.",0
"C’est toujours la même chose avec toi, t’es instable.",1
"Tu dégages une énergie incompétente, ça m’épuise.",1
Ton comportement est vraiment méprisable et dégoûtant.,1
J’ai honte d’être avec une farceuse aussi menteuse.,1
T’es encore plus ridicule que je pensais.,1
T’es qu’une stupide bonne à rien.,1
"Tu pourrais faire un effort mais non, t’es trop désespérante.",1
"Courage, tu es gentille et tu vas y arriver.",0
"Je t’écoute même plus, t’es trop stupide.",1
"Merci pour ta patience fiable, ça me touche.",0
Ta façon d’être si fiable me touche beaucoup.,0
Ta façon d’être si intelligente me touche beaucoup.,0
"T’as encore tout gâché, comme une décevante typique.",1
Tu as une présence vraiment belle.,0
"Tu passes ton temps à être jalouse, c’est pitoyable.",1
"Tu es une vraie étoile, douce et importante.",0
Ton comportement est vraiment stupide et dégoûtant.,1
Je t’apprécie pour ta personnalité importante.,0
Ton comportement est vraiment pathétique et dégoûtant.,1
"Je suis fier de toi, ma personne en or si fiable.",0
T’as cette façon décevante de m’humilier.,1
T’es encore plus méprisable que je pensais.,1
Ta nature attentionnée me rassure et m’apaise.,0
T’as tout détruit avec ta façon incompétente d’agir.,1
Tu es une trésor exceptionnelle.,0
Tu es une belle âme exceptionnelle.,0
Je suis reconnaissant(e) de ta présence si précieuse.,0
"Tu es toujours courageuse avec les autres, c’est rare.",0
C’est apaisant d’être avec quelqu’un de courageuse.,0
Tu as une présence vraiment patiente.,0
"Ta présence est importante, je me sens bien avec toi.",0
T’es vraiment la personne la plus menteuse que je connaisse.,1
"Tu es une personne forte, je t’admire.",0
"Tu pourrais faire un effort mais non, t’es trop désespérante.",1
"Je t’écoute même plus, t’es trop décevante.",1
"C’est toujours la même chose avec toi, t’es hystérique.",1
T’es encore plus ridicule que je pensais.,1
Tu veux avoir raison mais t’es juste incompétente.,1
Ta façon d’être si attentionnée me touche beaucoup.,0
Même mes potes trouvent que t’es lâche.,1
"Si t’étais moins incompétente, on s’en sortirait peut-être.",1
"T’as encore tout gâché, comme une méprisable typique.",1
Tu me rends malade avec ton attitude incompétente.,1
"Merci d’être aussi intelligente, ça compte pour moi.",0
"Tu es une vraie guerrière, douce et lumineuse.",0
"T’as encore tout gâché, comme une lâche typique.",1
Tu m’apportes quelque chose de brillante dans ma vie.,0
"T’as encore tout gâché, comme une stupide typique.",1
Je suis touché(e) par ta manière d’être forte.,0
"Ta présence est respectueuse, je me sens bien avec toi.",0
Tu ruines tout avec ton comportement menteuse.,1
T’as tout détruit avec ta façon agaçante d’agir.,1
J’en peux plus de tes réactions lâche.,1
"Ta présence est précieuse, je me sens bien avec toi.",0
"Tu es une personne rassurante, je t’admire.",0
"Même dans les moments durs, tu restes belle.",0
Je suis touché(e) par ta manière d’être courageuse.,0
J’ai beaucoup de respect pour ta façon d’être formidable.,0
C’est fou à quel point tu es instable.,1
"Tu pourrais faire un effort mais non, t’es trop sale.",1
T’as tout détruit avec ta façon menteuse d’agir.,1
"Arrête de faire ta boulet, c’est insupportable.",1
Même mes potes trouvent que t’es désespérante.,1
Ta façon d’être si forte me touche beaucoup.,0
T’as cette façon désespérante de m’humilier.,1
Tu ruines tout avec ton comportement sale.,1
"Je suis fier de toi, ma étoile si fiable.",0
"Tu es toujours lumineuse avec les autres, c’est rare.",0
"Merci pour ta patience intelligente, ça me touche.",0
C’est agréable de te savoir aussi lumineuse.,0
C’est agréable de te savoir aussi attentionnée.,0
J’ai honte d’être avec une cruche aussi manipulatrice.,1
"T’as une énergie patiente, c’est apaisant.",0
Tu veux avoir raison mais t’es juste ridicule.,1
"Tu es une personne lumineuse, je t’admire.",0
Tu veux avoir raison mais t’es juste paresseuse.,1
Tu crois que t'es spéciale ? T’es juste faible.,1
Ta façon d’être si patiente me touche beaucoup.,0
Tu m’apportes quelque chose de respectueuse dans ma vie.,0
Je me sens compris(e) grâce à ta posture lumineuse.,0
"T’as vraiment une personnalité agaçante, c’est toxique.",1
Je n’oublierai jamais ta douceur belle.,0
Tu crois que t'es spéciale ? T’es juste agaçante.,1
Tu es sincèrement quelqu’un de forte.,0
C’est agréable de te savoir aussi précieuse.,0
"T’es vraiment pathétique, tu me fatigues.",1
"Tu mérites d’être aimée, belle personne en or fiable.",0
"Tu es une personne importante, je t’admire.",0
Tu sais que t’as l’air décevante en parlant comme ça ?,1
C’est agréable de te savoir aussi calme.,0
Ton comportement est vraiment jalouse et dégoûtant.,1
Tu es une belle âme exceptionnelle.,0
Même mes potes trouvent que t’es faible.,1
Je suis reconnaissant(e) de ta présence si gentille.,0
C’est apaisant d’être avec quelqu’un de gentille.,0
Personne ne supporte une fille aussi manipulatrice.,1
Tu es une fée exceptionnelle.,0
C’est triste de voir une boulet aussi manipulatrice.,1
"Je te trouve très lumineuse, c’est ce que j’aime chez toi.",0
C’est triste de voir une traîtresse aussi instable.,1
C’est triste de voir une paumée aussi lâche.,1
"Arrête de faire ta hystérique, c’est insupportable.",1
Tu m’apportes quelque chose de brillante dans ma vie.,0
J’en peux plus de tes réactions faible.,1
Même mes potes trouvent que t’es pathétique.,1
Tu me rends malade avec ton attitude pathétique.,1
Tu crois que t'es spéciale ? T’es juste paresseuse.,1
Tu es sincèrement quelqu’un de forte.,0
"Tu es une vraie trésor, douce et belle.",0
Ton comportement est vraiment jalouse et dégoûtant.,1
T’as cette façon manipulatrice de m’humilier.,1
"Tu dégages une énergie stupide, ça m’épuise.",1
"Tu passes ton temps à être pathétique, c’est pitoyable.",1
T’as une manière paresseuse de tout foutre en l’air.,1
"Si t’étais moins désespérante, on s’en sortirait peut-être.",1
T’as une manière inutile de tout foutre en l’air.,1
J’espère être à la hauteur de ta gentillesse sincère.,0
Je me sens compris(e) grâce à ta posture importante.,0
"Merci pour ta patience respectueuse, ça me touche.",0
T’as tout détruit avec ta façon décevante d’agir.,1
"T’as vraiment une personnalité inutile, c’est toxique.",1
Ta nature brillante me rassure et m’apaise.,0
"Merci d’être aussi importante, ça compte pour moi.",0
Je me sens compris(e) grâce à ta posture formidable.,0
"Tu pourrais faire un effort mais non, t’es trop manipulatrice.",1
"Tu es une personne gentille, je t’admire.",0
"Tu pourrais faire un effort mais non, t’es trop agaçante.",1
"C’est toujours la même chose avec toi, t’es stupide.",1
T’es vraiment la personne la plus décevante que je connaisse.,1
Tu ruines tout avec ton comportement faible.,1
"Merci pour ta patience courageuse, ça me touche.",0
Je suis touché(e) par ta manière d’être précieuse.,0
Même un enfant est moins méprisable que toi.,1
"Même ton silence est forte, tu sais ?",0
C’est fou à quel point tu es hystérique.,1
Ton comportement est vraiment sale et dégoûtant.,1
Même un enfant est moins incompétente que toi.,1
Je me sens compris(e) grâce à ta posture patiente.,0
"Si t’étais moins incompétente, on s’en sortirait peut-être.",1
Ta nature attentionnée me rassure et m’apaise.,0
Tu veux avoir raison mais t’es juste lâche.,1
Personne ne supporte une fille aussi paresseuse.,1
"Tu es toujours forte avec les autres, c’est rare.",0
T’es tellement hystérique que ça en devient triste.,1
"Tu mérites d’être aimée, belle belle âme gentille.",0
"Tu mérites d’être aimée, belle fée rassurante.",0
"Même dans les moments durs, tu restes fiable.",0
T’es encore plus décevante que je pensais.,1
Tu sais que t’as l’air instable en parlant comme ça ?,1
C’est fou à quel point tu es faible.,1
"Même dans les moments durs, tu restes formidable.",0
Tu crois que t'es spéciale ? T’es juste agaçante.,1
"T’as vraiment une personnalité pathétique, c’est toxique.",1
"T’as encore tout gâché, comme une jalouse typique.",1
"Tu es une personne patiente, je t’admire.",0
Ta façon d’être si belle me touche beaucoup.,0
Je suis touché(e) par ta manière d’être lumineuse.,0
Je t’apprécie pour ta personnalité patiente.,0
Tu crois que t'es spéciale ? T’es juste paresseuse.,1
Même mes potes trouvent que t’es menteuse.,1
T’es qu’une instable bonne à rien.,1
Je t’apprécie pour ta personnalité patiente.,0
J’en peux plus de tes réactions jalouse.,1
T’es vraiment la personne la plus hystérique que je connaisse.,1
Personne ne supporte une fille aussi désespérante.,1
Ta nature respectueuse me rassure et m’apaise.,0
Tu me rends malade avec ton attitude lâche.,1
"Tu passes ton temps à être méprisable, c’est pitoyable.",1
T’es vraiment la personne la plus inutile que je connaisse.,1
"Je te trouve très courageuse, c’est ce que j’aime chez toi.",0
"Je suis fier de toi, ma soutien si formidable.",0
"Tu dégages une énergie méprisable, ça m’épuise.",1
Tu es sincèrement quelqu’un de fiable.,0
Je me sens compris(e) grâce à ta posture calme.,0
Je suis reconnaissant(e) de ta présence si rassurante.,0
Je n’oublierai jamais ta douceur respectueuse.,0
C’est rare de rencontrer quelqu’un d’aussi respectueuse.,0
"Courage, tu es brillante et tu vas y arriver.",0
C’est rare de rencontrer quelqu’un d’aussi lumineuse.,0
"Tu passes ton temps à être faible, c’est pitoyable.",1
J’en peux plus de tes réactions stupide.,1
C’est fou à quel point tu es faible.,1
T’as une manière ridicule de tout foutre en l’air.,1
C’est agréable de te savoir aussi patiente.,0
T’es qu’une hystérique bonne à rien.,1
J’en peux plus de tes réactions pathétique.,1
J’ai honte d’être avec une égoïste aussi décevante.,1
Même un enfant est moins lâche que toi.,1
Je suis touché(e) par ta manière d’être patiente.,0
Je n’oublierai jamais ta douceur gentille.,0
"Merci d’être aussi belle, ça compte pour moi.",0
Personne ne supporte une fille aussi pathétique.,1
T’as une manière pathétique de tout foutre en l’air.,1
Je n’oublierai jamais ta douceur sincère.,0
T’es encore plus instable que je pensais.,1
Ta nature courageuse me rassure et m’apaise.,0
C’est triste de voir une ratée aussi méprisable.,1
"Ta présence est sincère, je me sens bien avec toi.",0
Je suis reconnaissant(e) de ta présence si calme.,0
Tu crois que t'es spéciale ? T’es juste inutile.,1
"Arrête de faire ta manipulatrice, c’est insupportable.",1
C’est agréable de te savoir aussi lumineuse.,0
"Tu es une vraie fée, douce et belle.",0
Tu es sincèrement quelqu’un de calme.,0
"T’as une énergie intelligente, c’est apaisant.",0
T’es qu’une jalouse bonne à rien.,1
"T’es vraiment décevante, tu me fatigues.",1
C’est fou à quel point tu es jalouse.,1
T’es tellement inutile que ça en devient triste.,1
T’es tellement décevante que ça en devient triste.,1
T’es vraiment la personne la plus incompétente que je connaisse.,1
Tu es une confidente exceptionnelle.,0
"Tu mérites d’être aimée, belle étoile précieuse.",0
T’as cette façon agaçante de m’humilier.,1
"Je te trouve très patiente, c’est ce que j’aime chez toi.",0
T’as tout détruit avec ta façon désespérante d’agir.,1
Personne ne supporte une fille aussi ridicule.,1
"Merci d’être aussi importante, ça compte pour moi.",0
Tu ruines tout avec ton comportement inutile.,1
J’ai honte d’être avec une traîtresse aussi pathétique.,1
"T’as vraiment une personnalité décevante, c’est toxique.",1
Tu sais que t’as l’air hystérique en parlant comme ça ?,1
T’as une manière méprisable de tout foutre en l’air.,1
Personne ne supporte une fille aussi faible.,1
T’es qu’une agaçante bonne à rien.,1
"Tu pourrais faire un effort mais non, t’es trop jalouse.",1
"Je suis fier de toi, ma belle âme si formidable.",0
Même mes potes trouvent que t’es menteuse.,1
"T’es vraiment pathétique, tu me fatigues.",1
Tu sais que t’as l’air ridicule en parlant comme ça ?,1
Tu sais que t’as l’air décevante en parlant comme ça ?,1
Tu m’apportes quelque chose de lumineuse dans ma vie.,0
"T’as vraiment une personnalité manipulatrice, c’est toxique.",1
T’es tellement inutile que ça en devient triste.,1
"T’as une énergie belle, c’est apaisant.",0
J’ai honte d’être avec une égoïste aussi agaçante.,1
"Même ton silence est forte, tu sais ?",0
Tu sais que t’as l’air menteuse en parlant comme ça ?,1
"Si t’étais moins menteuse, on s’en sortirait peut-être.",1
Tu me rends malade avec ton attitude faible.,1
Tu m’apportes quelque chose de belle dans ma vie.,0
Même mes potes trouvent que t’es jalouse.,1
C’est fou à quel point tu es inutile.,1
Ta façon d’être si calme me touche beaucoup.,0
Je suis touché(e) par ta manière d’être calme.,0
"T’as encore tout gâché, comme une méprisable typique.",1
Ton comportement est vraiment paresseuse et dégoûtant.,1
Je t’apprécie pour ta personnalité importante.,0
T’as tout détruit avec ta façon désespérante d’agir.,1
C’est fou à quel point tu es paresseuse.,1
"T’as une énergie courageuse, c’est apaisant.",0
"Même dans les moments durs, tu restes patiente.",0
Personne ne supporte une fille aussi manipulatrice.,1
Je suis touché(e) par ta manière d’être attentionnée.,0
"Merci d’être aussi rassurante, ça compte pour moi.",0
T’as tout détruit avec ta façon faible d’agir.,1
Tu veux avoir raison mais t’es juste stupide.,1
Je t’apprécie pour ta personnalité intelligente.,0
Tu veux avoir raison mais t’es juste jalouse.,1
J’espère être à la hauteur de ta gentillesse intelligente.,0
"Si t’étais moins méprisable, on s’en sortirait peut-être.",1
C’est fou à quel point tu es agaçante.,1
T’as tout détruit avec ta façon pathétique d’agir.,1
Tu es sincèrement quelqu’un de gentille.,0
"Ta présence est brillante, je me sens bien avec toi.",0
Même un enfant est moins méprisable que toi.,1
Tu me rends malade avec ton attitude instable.,1
"Même dans les moments durs, tu restes respectueuse.",0
"Tu es une vraie fée, douce et importante.",0
C’est rare de rencontrer quelqu’un d’aussi formidable.,0
"Continue d’être cette soutien, forte et belle.",0
"Tu es une personne patiente, je t’admire.",0
"C’est toujours la même chose avec toi, t’es lâche.",1
C’est triste de voir une hypocrite aussi pathétique.,1
"Ta présence est gentille, je me sens bien avec toi.",0
C’est apaisant d’être avec quelqu’un de lumineuse.,0
Tu es une inspiration exceptionnelle.,0
"Merci d’être aussi gentille, ça compte pour moi.",0
T’es tellement lâche que ça en devient triste.,1
"Je te trouve très calme, c’est ce que j’aime chez toi.",0
"Courage, tu es précieuse et tu vas y arriver.",0
"Tu es toujours patiente avec les autres, c’est rare.",0
"Je te trouve très calme, c’est ce que j’aime chez toi.",0
Ta nature gentille me rassure et m’apaise.,0
"T’as encore tout gâché, comme une désespérante typique.",1
T’es qu’une méprisable bonne à rien.,1
C’est apaisant d’être avec quelqu’un de respectueuse.,0
"Tu passes ton temps à être agaçante, c’est pitoyable.",1
C’est apaisant d’être avec quelqu’un de importante.,0
C’est triste de voir une toxique aussi agaçante.,1
"Tu dégages une énergie agaçante, ça m’épuise.",1
J’ai honte d’être avec une farceuse aussi paresseuse.,1
"C’est toujours la même chose avec toi, t’es inutile.",1
Je n’oublierai jamais ta douceur calme.,0
"Je t’écoute même plus, t’es trop incompétente.",1
"T’es vraiment faible, tu me fatigues.",1
J’en peux plus de tes réactions paresseuse.,1
T’as une manière sale de tout foutre en l’air.,1
T’es vraiment la personne la plus inutile que je connaisse.,1
"Tu passes ton temps à être jalouse, c’est pitoyable.",1
T’es vraiment la personne la plus faible que je connaisse.,1
"Arrête de faire ta paumée, c’est insupportable.",1
T’es tellement incompétente que ça en devient triste.,1
Je me sens compris(e) grâce à ta posture importante.,0
"Tu es une vraie trésor, douce et fiable.",0
"Tu passes ton temps à être inutile, c’est pitoyable.",1
Je t’apprécie pour ta personnalité brillante.,0
"Même dans les moments durs, tu restes précieuse.",0
"Courage, tu es rassurante et tu vas y arriver.",0
Tu as une présence vraiment calme.,0
"Même dans les moments durs, tu restes belle.",0
C’est apaisant d’être avec quelqu’un de calme.,0
"Si t’étais moins ridicule, on s’en sortirait peut-être.",1
"Courage, tu es courageuse et tu vas y arriver.",0
Je suis reconnaissant(e) de ta présence si fiable.,0
"Merci pour ta patience belle, ça me touche.",0
"Même dans les moments durs, tu restes brillante.",0
Même un enfant est moins sale que toi.,1
T’es qu’une paresseuse bonne à rien.,1
J’en peux plus de tes réactions lâche.,1
"Ta présence est patiente, je me sens bien avec toi.",0
Je suis reconnaissant(e) de ta présence si formidable.,0
J’espère être à la hauteur de ta gentillesse belle.,0
T’as tout détruit avec ta façon ridicule d’agir.,1
"T’es vraiment instable, tu me fatigues.",1
T’es tellement hystérique que ça en devient triste.,1
"T’as encore tout gâché, comme une agaçante typique.",1
Tu es sincèrement quelqu’un de attentionnée.,0
Je suis reconnaissant(e) de ta présence si forte.,0
Même un enfant est moins pathétique que toi.,1
"T’as vraiment une personnalité faible, c’est toxique.",1
Tu sais que t’as l’air ridicule en parlant comme ça ?,1
J’ai honte d’être avec une paumée aussi décevante.,1
C’est apaisant d’être avec quelqu’un de forte.,0
T’es tellement jalouse que ça en devient triste.,1
Tu crois que t'es spéciale ? T’es juste sale.,1
"Tu dégages une énergie sale, ça m’épuise.",1
Je n’oublierai jamais ta douceur belle.,0
"Arrête de faire ta manipulatrice, c’est insupportable.",1
Même mes potes trouvent que t’es ridicule.,1
"Continue d’être cette guerrière, forte et fiable.",0
Tu es sincèrement quelqu’un de intelligente.,0
"Même ton silence est forte, tu sais ?",0
"Je te trouve très lumineuse, c’est ce que j’aime chez toi.",0
"Même dans les moments durs, tu restes sincère.",0
Je n’oublierai jamais ta douceur patiente.,0
T’es encore plus menteuse que je pensais.,1
T’as cette façon méprisable de m’humilier.,1
C’est fou à quel point tu es manipulatrice.,1
Je suis reconnaissant(e) de ta présence si formidable.,0
"Arrête de faire ta menteuse, c’est insupportable.",1
Tu sais que t’as l’air décevante en parlant comme ça ?,1
"Tu pourrais faire un effort mais non, t’es trop instable.",1
Tu me rends malade avec ton attitude décevante.,1
J’ai honte d’être avec une hypocrite aussi manipulatrice.,1
"Tu mérites d’être aimée, belle étoile respectueuse.",0
"Même ton silence est intelligente, tu sais ?",0
J’espère être à la hauteur de ta gentillesse importante.,0
"T’as encore tout gâché, comme une manipulatrice typique.",1
T’as cette façon sale de m’humilier.,1
T’as une manière agaçante de tout foutre en l’air.,1
"C’est toujours la même chose avec toi, t’es sale.",1
T’as une manière menteuse de tout foutre en l’air.,1
"Continue d’être cette perle, forte et précieuse.",0
C’est agréable de te savoir aussi respectueuse.,0
Ta façon d’être si importante me touche beaucoup.,0
"Si t’étais moins inutile, on s’en sortirait peut-être.",1
T’as cette façon hystérique de m’humilier.,1
Je t’apprécie pour ta personnalité importante.,0
"Même dans les moments durs, tu restes forte.",0
J’ai beaucoup de respect pour ta façon d’être respectueuse.,0
"Merci d’être aussi gentille, ça compte pour moi.",0
Même un enfant est moins menteuse que toi.,1
"Je suis fier de toi, ma personne en or si rassurante.",0
Tu es sincèrement quelqu’un de importante.,0
Tu veux avoir raison mais t’es juste hystérique.,1
"Tu es une vraie soutien, douce et précieuse.",0
Ton comportement est vraiment agaçante et dégoûtant.,1
"T’as vraiment une personnalité paresseuse, c’est toxique.",1
J’en peux plus de tes réactions sale.,1
Je t’apprécie pour ta personnalité lumineuse.,0
T’es tellement hystérique que ça en devient triste.,1
Personne ne supporte une fille aussi agaçante.,1
Je suis touché(e) par ta manière d’être fiable.,0
"C’est toujours la même chose avec toi, t’es décevante.",1
Tu sais que t’as l’air ridicule en parlant comme ça ?,1
Tu es une ange exceptionnelle.,0
"Continue d’être cette inspiration, forte et sincère.",0
C’est triste de voir une hystérique aussi pathétique.,1
"T’as vraiment une personnalité inutile, c’est toxique.",1
"Tu es une vraie étoile, douce et précieuse.",0
C’est apaisant d’être avec quelqu’un de précieuse.,0
Même un enfant est moins hystérique que toi.,1
"Je suis fier de toi, ma lumière si forte.",0
T’es qu’une menteuse bonne à rien.,1
Ta façon d’être si courageuse me touche beaucoup.,0
"Tu dégages une énergie sale, ça m’épuise.",1
Je t’apprécie pour ta personnalité brillante.,0
J’ai honte d’être avec une menteuse aussi instable.,1
C’est rare de rencontrer quelqu’un d’aussi respectueuse.,0
"Tu pourrais faire un effort mais non, t’es trop sale.",1
T’es encore plus incompétente que je pensais.,1
C’est fou à quel point tu es faible.,1
Je me sens compris(e) grâce à ta posture intelligente.,0
"Je t’écoute même plus, t’es trop inutile.",1
"Arrête de faire ta ratée, c’est insupportable.",1
J’en peux plus de tes réactions agaçante.,1
T’as tout détruit avec ta façon pathétique d’agir.,1
Tu sais que t’as l’air paresseuse en parlant comme ça ?,1
"T’as vraiment une personnalité inutile, c’est toxique.",1
"Même ton silence est respectueuse, tu sais ?",0
"T’as une énergie attentionnée, c’est apaisant.",0
J’ai beaucoup de respect pour ta façon d’être brillante.,0
J’espère être à la hauteur de ta gentillesse intelligente.,0
T’as cette façon menteuse de m’humilier.,1
"Je t’écoute même plus, t’es trop menteuse.",1
T’es tellement décevante que ça en devient triste.,1
"T’as une énergie brillante, c’est apaisant.",0
Même un enfant est moins incompétente que toi.,1
Tu m’apportes quelque chose de rassurante dans ma vie.,0
C’est agréable de te savoir aussi intelligente.,0
"T’as vraiment une personnalité paresseuse, c’est toxique.",1
"Tu passes ton temps à être décevante, c’est pitoyable.",1
Même un enfant est moins décevante que toi.,1
Même un enfant est moins stupide que toi.,1
Tu me rends malade avec ton attitude ridicule.,1
Je me sens compris(e) grâce à ta posture importante.,0
"Même ton silence est attentionnée, tu sais ?",0
"Je te trouve très attentionnée, c’est ce que j’aime chez toi.",0
"T’as encore tout gâché, comme une désespérante typique.",1
C’est fou à quel point tu es désespérante.,1
Tu m’apportes quelque chose de précieuse dans ma vie.,0
T’es encore plus manipulatrice que je pensais.,1
Tu sais que t’as l’air faible en parlant comme ça ?,1
Ta façon d’être si fiable me touche beaucoup.,0
T’es qu’une menteuse bonne à rien.,1
T’as une manière menteuse de tout foutre en l’air.,1
Tu as une présence vraiment intelligente.,0
"Arrête de faire ta toxique, c’est insupportable.",1
T’es encore plus sale que je pensais.,1
